UF,Tipo Crime,Ano,Mês,Ocorrências
Acre,Homicídio doloso,2020,março,18
Acre,Lesão corporal seguida de morte,2020,março,0
Acre,Roubo a instituição financeira,2020,março,0
Acre,Roubo de carga,2020,março,0
Acre,Roubo de veículo,2020,março,93
Acre,Roubo seguido de morte (latrocínio),2020,março,0
Acre,Tentativa de homicídio,2020,março,17
Alagoas,Estupro,2015,janeiro,38
Alagoas,Furto de veículo,2015,janeiro,67
Alagoas,Homicídio doloso,2015,janeiro,186
Alagoas,Lesão corporal seguida de morte,2015,janeiro,1
Alagoas,Roubo a instituição financeira,2015,janeiro,1
Alagoas,Roubo de carga,2015,janeiro,10
Alagoas,Roubo de veículo,2015,janeiro,297
Alagoas,Roubo seguido de morte (latrocínio),2015,janeiro,5
Alagoas,Tentativa de homicídio,2015,janeiro,40
Alagoas,Estupro,2015,fevereiro,40
Alagoas,Furto de veículo,2015,fevereiro,51
Alagoas,Homicídio doloso,2015,fevereiro,147
Alagoas,Lesão corporal seguida de morte,2015,fevereiro,0
Alagoas,Roubo a instituição financeira,2015,fevereiro,1
Alagoas,Roubo de carga,2015,fevereiro,3
Alagoas,Roubo de veículo,2015,fevereiro,208
Alagoas,Roubo seguido de morte (latrocínio),2015,fevereiro,6
Alagoas,Tentativa de homicídio,2015,fevereiro,62
Alagoas,Estupro,2015,março,55
Alagoas,Furto de veículo,2015,março,41
Alagoas,Homicídio doloso,2015,março,132
Alagoas,Lesão corporal seguida de morte,2015,março,1
Alagoas,Roubo a instituição financeira,2015,março,4
Alagoas,Roubo de carga,2015,março,9
Alagoas,Roubo de veículo,2015,março,271
Alagoas,Roubo seguido de morte (latrocínio),2015,março,8
Alagoas,Tentativa de homicídio,2015,março,65
Alagoas,Estupro,2015,abril,52
Alagoas,Furto de veículo,2015,abril,52
Alagoas,Homicídio doloso,2015,abril,126
Alagoas,Lesão corporal seguida de morte,2015,abril,1
Alagoas,Roubo a instituição financeira,2015,abril,1
Alagoas,Roubo de carga,2015,abril,3
Alagoas,Roubo de veículo,2015,abril,269
Alagoas,Roubo seguido de morte (latrocínio),2015,abril,2
Alagoas,Tentativa de homicídio,2015,abril,65
Alagoas,Estupro,2015,maio,47
Alagoas,Furto de veículo,2015,maio,57
Alagoas,Homicídio doloso,2015,maio,120
Alagoas,Lesão corporal seguida de morte,2015,maio,2
Alagoas,Roubo a instituição financeira,2015,maio,4
Alagoas,Roubo de carga,2015,maio,5
Alagoas,Roubo de veículo,2015,maio,233
Alagoas,Roubo seguido de morte (latrocínio),2015,maio,6
Alagoas,Tentativa de homicídio,2015,maio,55
Alagoas,Estupro,2015,junho,42
Alagoas,Furto de veículo,2015,junho,62
Alagoas,Homicídio doloso,2015,junho,138
Alagoas,Lesão corporal seguida de morte,2015,junho,0
Alagoas,Roubo a instituição financeira,2015,junho,0
Alagoas,Roubo de carga,2015,junho,2
Alagoas,Roubo de veículo,2015,junho,234
Alagoas,Roubo seguido de morte (latrocínio),2015,junho,2
Alagoas,Tentativa de homicídio,2015,junho,48
Alagoas,Estupro,2015,julho,45
Alagoas,Furto de veículo,2015,julho,77
Alagoas,Homicídio doloso,2015,julho,130
Alagoas,Lesão corporal seguida de morte,2015,julho,0
Alagoas,Roubo a instituição financeira,2015,julho,2
Alagoas,Roubo de carga,2015,julho,12
Alagoas,Roubo de veículo,2015,julho,328
Alagoas,Roubo seguido de morte (latrocínio),2015,julho,8
Alagoas,Tentativa de homicídio,2015,julho,51
Alagoas,Estupro,2015,agosto,53
Alagoas,Furto de veículo,2015,agosto,53
Alagoas,Homicídio doloso,2015,agosto,118
Alagoas,Lesão corporal seguida de morte,2015,agosto,2
Alagoas,Roubo a instituição financeira,2015,agosto,0
Alagoas,Roubo de carga,2015,agosto,8
Alagoas,Roubo de veículo,2015,agosto,237
Alagoas,Roubo seguido de morte (latrocínio),2015,agosto,6
Alagoas,Tentativa de homicídio,2015,agosto,55
Alagoas,Estupro,2015,setembro,42
Alagoas,Furto de veículo,2015,setembro,52
Alagoas,Homicídio doloso,2015,setembro,115
Alagoas,Lesão corporal seguida de morte,2015,setembro,0
Alagoas,Roubo a instituição financeira,2015,setembro,3
Alagoas,Roubo de carga,2015,setembro,13
Alagoas,Roubo de veículo,2015,setembro,218
Alagoas,Roubo seguido de morte (latrocínio),2015,setembro,3
Alagoas,Tentativa de homicídio,2015,setembro,50
Alagoas,Estupro,2015,outubro,60
Alagoas,Furto de veículo,2015,outubro,47
Alagoas,Homicídio doloso,2015,outubro,126
Alagoas,Lesão corporal seguida de morte,2015,outubro,2
Alagoas,Roubo a instituição financeira,2015,outubro,1
Alagoas,Roubo de carga,2015,outubro,15
Alagoas,Roubo de veículo,2015,outubro,237
Alagoas,Roubo seguido de morte (latrocínio),2015,outubro,1
Alagoas,Tentativa de homicídio,2015,outubro,67
Alagoas,Estupro,2015,novembro,45
Alagoas,Furto de veículo,2015,novembro,75
Alagoas,Homicídio doloso,2015,novembro,138
Alagoas,Lesão corporal seguida de morte,2015,novembro,0
Alagoas,Roubo a instituição financeira,2015,novembro,3
Alagoas,Roubo de carga,2015,novembro,8
Alagoas,Roubo de veículo,2015,novembro,292
Alagoas,Roubo seguido de morte (latrocínio),2015,novembro,5
Alagoas,Tentativa de homicídio,2015,novembro,73
Alagoas,Estupro,2015,dezembro,48
Alagoas,Furto de veículo,2015,dezembro,62
Alagoas,Homicídio doloso,2015,dezembro,157
Alagoas,Lesão corporal seguida de morte,2015,dezembro,0
Alagoas,Roubo a instituição financeira,2015,dezembro,1
Alagoas,Roubo de carga,2015,dezembro,7
Alagoas,Roubo de veículo,2015,dezembro,334
Alagoas,Roubo seguido de morte (latrocínio),2015,dezembro,4
Alagoas,Tentativa de homicídio,2015,dezembro,73
Alagoas,Estupro,2016,janeiro,48
Alagoas,Furto de veículo,2016,janeiro,73
Alagoas,Homicídio doloso,2016,janeiro,144
Alagoas,Lesão corporal seguida de morte,2016,janeiro,0
Alagoas,Roubo a instituição financeira,2016,janeiro,4
Alagoas,Roubo de carga,2016,janeiro,3
Alagoas,Roubo de veículo,2016,janeiro,321
Alagoas,Roubo seguido de morte (latrocínio),2016,janeiro,6
Alagoas,Tentativa de homicídio,2016,janeiro,70
Alagoas,Estupro,2016,fevereiro,40
Alagoas,Furto de veículo,2016,fevereiro,67
Alagoas,Homicídio doloso,2016,fevereiro,128
Alagoas,Lesão corporal seguida de morte,2016,fevereiro,1
Alagoas,Roubo a instituição financeira,2016,fevereiro,5
Alagoas,Roubo de carga,2016,fevereiro,5
Alagoas,Roubo de veículo,2016,fevereiro,306
Alagoas,Roubo seguido de morte (latrocínio),2016,fevereiro,5
Alagoas,Tentativa de homicídio,2016,fevereiro,60
Alagoas,Estupro,2016,março,42
Alagoas,Furto de veículo,2016,março,76
Alagoas,Homicídio doloso,2016,março,158
Alagoas,Lesão corporal seguida de morte,2016,março,1
Alagoas,Roubo a instituição financeira,2016,março,5
Alagoas,Roubo de carga,2016,março,9
Alagoas,Roubo de veículo,2016,março,325
Alagoas,Roubo seguido de morte (latrocínio),2016,março,2
Alagoas,Tentativa de homicídio,2016,março,80
Alagoas,Estupro,2016,abril,30
Alagoas,Furto de veículo,2016,abril,62
Alagoas,Homicídio doloso,2016,abril,124
Alagoas,Lesão corporal seguida de morte,2016,abril,1
Alagoas,Roubo a instituição financeira,2016,abril,3
Alagoas,Roubo de carga,2016,abril,5
Alagoas,Roubo de veículo,2016,abril,291
Alagoas,Roubo seguido de morte (latrocínio),2016,abril,9
Alagoas,Tentativa de homicídio,2016,abril,57
Alagoas,Estupro,2016,maio,40
Alagoas,Furto de veículo,2016,maio,65
Alagoas,Homicídio doloso,2016,maio,143
Alagoas,Lesão corporal seguida de morte,2016,maio,0
Alagoas,Roubo a instituição financeira,2016,maio,1
Alagoas,Roubo de carga,2016,maio,9
Alagoas,Roubo de veículo,2016,maio,317
Alagoas,Roubo seguido de morte (latrocínio),2016,maio,10
Alagoas,Tentativa de homicídio,2016,maio,41
Alagoas,Estupro,2016,junho,52
Alagoas,Furto de veículo,2016,junho,78
Alagoas,Homicídio doloso,2016,junho,123
Alagoas,Lesão corporal seguida de morte,2016,junho,2
Alagoas,Roubo a instituição financeira,2016,junho,2
Alagoas,Roubo de carga,2016,junho,8
Alagoas,Roubo de veículo,2016,junho,321
Alagoas,Roubo seguido de morte (latrocínio),2016,junho,5
Alagoas,Tentativa de homicídio,2016,junho,40
Alagoas,Estupro,2016,julho,44
Alagoas,Furto de veículo,2016,julho,64
Alagoas,Homicídio doloso,2016,julho,149
Alagoas,Lesão corporal seguida de morte,2016,julho,0
Alagoas,Roubo a instituição financeira,2016,julho,3
Alagoas,Roubo de carga,2016,julho,8
Alagoas,Roubo de veículo,2016,julho,336
Alagoas,Roubo seguido de morte (latrocínio),2016,julho,2
Alagoas,Tentativa de homicídio,2016,julho,45
Alagoas,Estupro,2016,agosto,54
Alagoas,Furto de veículo,2016,agosto,69
Alagoas,Homicídio doloso,2016,agosto,121
Alagoas,Lesão corporal seguida de morte,2016,agosto,0
Alagoas,Roubo a instituição financeira,2016,agosto,2
Alagoas,Roubo de carga,2016,agosto,6
Alagoas,Roubo de veículo,2016,agosto,328
Alagoas,Roubo seguido de morte (latrocínio),2016,agosto,4
Alagoas,Tentativa de homicídio,2016,agosto,55
Alagoas,Estupro,2016,setembro,51
Alagoas,Furto de veículo,2016,setembro,64
Alagoas,Homicídio doloso,2016,setembro,119
Alagoas,Lesão corporal seguida de morte,2016,setembro,0
Alagoas,Roubo a instituição financeira,2016,setembro,1
Alagoas,Roubo de carga,2016,setembro,6
Alagoas,Roubo de veículo,2016,setembro,299
